page_title,rev_id,timestamp,user,is_bot,delta,perplexity,burstiness,mean_dep_depth,clause_ratio,voice_ratio,fre,fog,chars_per_sent,sents_per_para,nTTR,word_density,avg_line_len,citation_delta
Toy problem,1096491298,2022-07-04 20:09:08+00:00,Citation bot,True,-0.0001,702.186279296875,1.6899520694976753,3.531177829099307,1.0909090909090908,0.9861431870669746,32.74996510468597,16.577999335327352,214.27272727272728,11,7.110696168449331,6.717363751584284,2367.0,0.01680672268907563
Toy problem,1123767537,2022-11-25 15:38:22+00:00,BloomyFractal,False,-0.0001,702.186279296875,1.6899520694976753,3.531177829099307,1.0909090909090908,0.9861431870669746,32.74996510468597,16.577999335327352,214.27272727272728,11,7.110696168449331,6.717363751584284,2367.0,0.01680672268907563
Toy problem,1123767537,2022-11-25 15:38:22+00:00,BloomyFractal,False,-0.0001,702.186279296875,1.6899520694976753,3.531177829099307,1.0909090909090908,0.9861431870669746,32.74996510468597,16.577999335327352,214.27272727272728,11,7.110696168449331,6.717363751584284,2367.0,0.01680672268907563
Toy problem,1123767537,2022-11-25 15:38:22+00:00,BloomyFractal,False,-0.0001,702.186279296875,1.6899520694976753,3.531177829099307,1.0909090909090908,0.9861431870669746,32.74996510468597,16.577999335327352,214.27272727272728,11,7.110696168449331,6.717363751584284,2367.0,0.01680672268907563
Pattern theory,1136022571,2023-01-28 08:05:17+00:00,WikiCleanerBot,True,-0.0001,758.882080078125,1.1068706508367416,3.283746556473829,0.3181818181818182,0.9972451790633609,15.159836250705865,17.034669678147942,105.72727272727273,22,7.379024325749306,7.030251384746485,2347.0,0.005333333333333333
Pattern theory,1136022571,2023-01-28 08:05:17+00:00,WikiCleanerBot,True,-0.0001,758.882080078125,1.1068706508367416,3.283746556473829,0.3181818181818182,0.9972451790633609,15.159836250705865,17.034669678147942,105.72727272727273,22,7.379024325749306,7.030251384746485,2347.0,0.005333333333333333
Neural modeling fields,1117938763,2022-10-24 10:07:13+00:00,62.189.28.177,False,-0.0001,371.0670471191406,1.5562764273622192,3.0234185733512784,0.8057553956834532,0.9806191117092867,36.57050696124605,15.996249451107685,137.82014388489208,139,6.618761213399377,0.7670778480356587,19294.0,0.0031525851197982345
Neural modeling fields,1129303507,2022-12-24 16:33:46+00:00,Conan,False,-0.0001,371.0670471191406,1.5562764273622192,3.0242456896551726,0.8057553956834532,0.9806034482758621,36.77090727031418,15.957151167550752,137.58273381294964,139,6.618761213399377,0.7683920876382327,19261.0,0.0031545741324921135
Neural modeling fields,1129303507,2022-12-24 16:33:46+00:00,Conan,False,-0.0001,371.0670471191406,1.5562764273622192,3.0242456896551726,0.8057553956834532,0.9806034482758621,36.77090727031418,15.957151167550752,137.58273381294964,139,6.618761213399377,0.7683920876382327,19261.0,0.0031545741324921135
Tensor (machine learning),1141655508,2023-02-26 04:05:18+00:00,Jarble,False,-0.0001,228.1869659423828,0.9380821320320716,3.1588132635253054,0.45689655172413796,0.9853403141361257,43.82094488188977,14.553896280206354,129.93103448275863,116,6.395154415649398,0.9415947850134984,15187.0,0.010104935872522347
Tensor (machine learning),1157373906,2023-05-28 05:59:49+00:00,Citation bot,True,-0.0001,428.79681396484375,0.9857881498615525,3.1979763912310286,0.5238095238095238,0.9885328836424958,42.14078369905957,15.115430163706026,148.86666666666667,105,6.574039853849381,0.9342230695900858,15735.0,0.017200674536256323
Artificial intelligence in hiring,1086761214,2022-05-08 05:51:42+00:00,JJMC89 bot III,False,-0.0001,325.7857971191406,1.7813561084506453,2.939818631492168,1.1584158415841583,0.9863973619126134,37.539044584259926,16.72163584097196,133.55445544554456,101,6.618761213399377,1.0891161969239826,13589.0,0.015664690939881456
Artificial intelligence in hiring,1105349611,2022-08-19 20:32:49+00:00,Ira Leviton,False,-0.0001,325.7857971191406,1.7813561084506453,2.9254530477759473,1.1372549019607843,0.9864085667215815,37.59811937817096,16.70300659146047,132.2450980392157,102,6.618761213399377,1.089036055923473,13590.0,0.015552753257671291
Artificial intelligence in hiring,1124677643,2022-11-29 23:34:47+00:00,Oronsay,False,-0.0001,325.7857971191406,1.7813561084506453,2.9308380797396256,1.1262135922330097,0.9865744507729862,37.08153280542987,16.8618778280543,132.7766990291262,103,6.618761213399377,1.0741762229641458,13778.0,0.015491235222176927
Artificial intelligence in hiring,1136761947,2023-02-01 00:25:51+00:00,Citation bot,True,-0.0001,325.7857971191406,1.7813561084506453,2.941743672157493,1.1346153846153846,0.9867416633186018,37.07624958352267,16.87181324506177,133.17307692307693,104,6.618761213399377,1.0607037912993622,13953.0,0.0156312625250501
Artificial intelligence in hiring,1148434004,2023-04-06 03:31:56+00:00,Bridget,False,-0.0001,325.7857971191406,1.7813561084506453,2.9415793714746172,1.1346153846153846,0.9867042707493956,37.01765573770493,16.87208951340099,132.94230769230768,104,6.618761213399377,1.0625314092899705,13929.0,0.01566265060240964
Coupled pattern learner,1094407090,2022-06-22 12:44:59+00:00,Citation bot,True,-0.0001,417.0917053222656,0.8301341063394234,3.5968688845401173,1.2903225806451613,0.9892367906066536,28.48301575426865,19.520143167282754,192.48387096774192,31,6.7082039324993685,2.5012506253126565,5997.0,0.005420054200542005
Coupled pattern learner,1094407090,2022-06-22 12:44:59+00:00,Citation bot,True,-0.0001,417.0917053222656,0.8301341063394234,3.5968688845401173,1.2903225806451613,0.9892367906066536,28.48301575426865,19.520143167282754,192.48387096774192,31,6.7082039324993685,2.5012506253126565,5997.0,0.005420054200542005
